➜  code git:(master) ✗ ruby-prof 03-prototype/main.rb
Thread ID: 70243058050160
Fiber ID: 70243076316280
Total: 53.566405
Sort by: self_time

 %self      total      self      wait     child     calls  name
 10.14      6.022     5.433     0.000     0.589  6910710   Hash#[]
  9.20      4.930     4.930     0.000     0.000  6924885   Fixnum#*
  7.13     53.459     3.820     0.000    49.639        1   Gosu::Window#show_internal
  6.06      3.247     3.247     0.000     0.000  3401779   Gosu::Image#draw
  2.22      1.613     1.187     0.000     0.426   650000   Vector#size
  1.29      1.422     0.692     0.000     0.730   120330  *Array#initialize
  1.24      3.129     0.666     0.000     2.463    90000   Vector#collect2
  0.92      0.608     0.493     0.000     0.115   160584   Matrix::ConversionHelper#convert_to_array
  0.91      0.488     0.488     0.000     0.000   711694   Array#[]
  0.88      0.643     0.474     0.000     0.170   260000   Vector#[]
  0.80      0.430     0.430     0.000     0.000   655112   Array#size
  0.71      3.002     0.378     0.000     2.625    50000   Vector#-
  0.65      0.519     0.350     0.000     0.168   170007   Array#hash
  0.65      0.527     0.348     0.000     0.179   260341   BasicObject#!=
  0.61      0.327     0.327     0.000     0.000   476548   Fixnum#==
  0.60      1.555     0.319     0.000     1.236    40000   Vector#each2
  0.56      2.396     0.300     0.000     2.096    40000   Vector#+
  0.48      0.925     0.256     0.000     0.669   100256   <Class::Vector>#elements
  0.43      3.025     0.230     0.000     2.795    53201  *Array#each
  0.42      0.767     0.223     0.000     0.544    40000   Perlin::GradientTable#index
  0.41      2.058     0.221     0.000     1.837    40000   Vector#inner_product
  0.41      0.219     0.219     0.000     0.000   160584   Vector#initialize
  0.38      0.311     0.201     0.000     0.110    80000   Perlin::GradientTable#perm
  0.37      0.474     0.196     0.000     0.278   130000   Kernel#dup
  0.36      0.194     0.194     0.000     0.000      340   Gosu::Window#caption=
  0.36      0.523     0.192     0.000     0.331    50006  *Proc#call
  0.35      0.553     0.188     0.000     0.364   100000   Vector#to_a
  0.35      0.286     0.187     0.000     0.099   100000   Array#eql?
  0.33      0.176     0.176     0.000     0.000   250640   Module#===
  0.33      0.278     0.176     0.000     0.102   130001   Kernel#initialize_dup
  0.33     13.657     0.176     0.000    13.482    10000   Perlin::Noise#[]
  0.31      0.168     0.168     0.000     0.000   250014   Kernel#hash
  0.29      0.566     0.158     0.000     0.408    60328   <Class::Vector>#[]
  0.29      0.153     0.153     0.000     0.000   213976   Fixnum#-
  0.25      0.348     0.133     0.000     0.215    80117   Hash#[]=
  0.23      0.126     0.126     0.000     0.000   176680   Float#-
  0.23      0.123     0.123     0.000     0.000   170000   Array#[]=
  0.22      0.117     0.117     0.000     0.000   166142   Fixnum#+
  0.19      0.898     0.104     0.000     0.794    40000   Perlin::GradientTable#[]
  0.19      0.102     0.102     0.000     0.000   130000   Array#initialize_copy
  0.19      0.101     0.101     0.000     0.000   140265   Kernel#block_given?
  0.19      0.101     0.101     0.000     0.000        2   <Class::Gosu::Image>#load_tiles
  0.19      0.099     0.099     0.000     0.000   150000   Numeric#eql?
  0.18      0.095     0.095     0.000     0.000   130006   Kernel#kind_of?
  0.17      0.091     0.091     0.000     0.000   128101   Float#*
  0.15     11.906     0.079     0.000    11.827    30000   Perlin::Noise#iterate
  0.14      0.078     0.078     0.000     0.000   106004   Float#+
  0.14      0.074     0.074     0.000     0.000   100000   Float#**
  0.14      0.074     0.074     0.000     0.000   100263   Kernel#class
  0.11     34.651     0.061     0.000    34.590    34340  *Hash#each
  0.11      0.057     0.057     0.000     0.000    81713   Fixnum#%
  0.10     11.754     0.056     0.000    11.698    70000  *Perlin::Noise#iterate_recursive
  0.10      0.053     0.053     0.000     0.000    80000   Numeric#conj
  0.10      0.211     0.053     0.000     0.158    10256   Vector#collect
  0.10      0.146     0.052     0.000     0.095    10000   Map#choose_tile
  0.08      0.042     0.042     0.000     0.000    60007   Array#first
  0.07      0.059     0.036     0.000     0.023    17813   Range#include?
  0.07      0.036     0.036     0.000     0.000    53439   Float#<=>
  0.06      0.032     0.032     0.000     0.000       46   <Class::Gosu::Image>#from_text4
  0.06      0.031     0.031     0.000     0.000    40000   Array#reverse
  0.05      0.028     0.028     0.000     0.000        1   Gosu::Window#initialize
  0.05      0.027     0.027     0.000     0.000    40004   Array#last
  0.05      0.047     0.025     0.000     0.022    10256   Array#collect
  0.04      0.082     0.023     0.000     0.059    17813   Range#===
  0.03      0.018     0.018     0.000     0.000        2   Gosu::Song#initialize_
  0.03      0.096     0.018     0.000     0.078     1689   Explosion#draw
  0.03      0.098     0.018     0.000     0.080     1873   Bullet#update
  0.03      0.035     0.018     0.000     0.017     2116   Bullet#trajectory_length
  0.03      0.018     0.018     0.000     0.000        3   Magick::Image#to_blob
  0.03      0.075     0.017     0.000     0.059      340   Tank#update
  0.03      0.061     0.014     0.000     0.047     3377   Explosion#done?
  0.03      0.014     0.014     0.000     0.000    20000   Float#to_i
  0.02      0.013     0.013     0.000     0.000        1   <Class::Magick::Image>#read
  0.02      0.018     0.013     0.000     0.005     1688   Explosion#frame_expired?
  0.02      0.031     0.012     0.000     0.019      340   Camera#update
  0.02      0.445     0.011     0.000     0.434      340   PlayState#update
  0.02      0.046     0.011     0.000     0.034     6755   Explosion#animation
  0.02      0.121     0.010     0.000     0.111     1848   Bullet#draw
  0.02      0.048     0.010     0.000     0.038     1902   Bullet#point_at_distance
  0.02      0.010     0.010     0.000     0.000    11073   Symbol#to_proc
  0.02      0.018     0.008     0.000     0.009     1689   Explosion#current_frame
  0.01      0.056     0.008     0.000     0.048       34  *Kernel#gem_original_require
  0.01      0.024     0.008     0.000     0.017     1113   Tank#speed
  0.01      0.226     0.008     0.000     0.219      744   Array#map
  0.01      0.007     0.007     0.000     0.000    10002   Array#length
  0.01      0.026     0.007     0.000     0.019     1688   Explosion#update
  0.01      0.007     0.007     0.000     0.000     6588   Fixnum#/
  0.01      0.025     0.007     0.000     0.018        4   Gosu::Image#initialize
  0.01      0.008     0.007     0.000     0.002       10   Module#class_eval
  0.01      0.008     0.007     0.000     0.002     3540   <Module::Math>#sqrt
  0.01      0.006     0.006     0.000     0.000     5934   Gosu::Window#button_down?
  0.01     34.787     0.005     0.000    34.782      340   Gosu::Window#scale
  0.01      0.010     0.005     0.000     0.004      341   Map#tile_at
  0.01      0.008     0.005     0.000     0.003     1848   Bullet#arrived?
